term,phrase,meaninglanguage1,meaning1,meaninglanguage2,meaning2
toppings,"...θα βάλουμε πάνω τα toppings, θα ψήσουμε την πίτσα...",en,toppings,,
αγαύης,"...να προσθέσεις είτε σιρόπι αγαύης, είτε μέλι.",en,agave,,
αγιασμός,Τι είναι αυτό; Αγιασμός!,en,Holy water,,
άγιο,Ο ιερέας μοιράζει το άγιο φως στους πιστούς,en,"Holy, saint",,
άγιος,...μας τα φέρνει ο Άγιος Βασίλης.,en,saint,,
άγρια,Βέβαια ήταν λίγο άγρια η θάλασσα όταν είχε...,en,"wild, wildly",,
αγχωθείς,...έτσι ώστε να μην αγχωθείς όταν θα είσαι εκεί.,en,anxious,,
αγχωμένη,"Είναι πολύ αγχωμένη για αυτό, επειδή αυτή...",en,anxious,,
αγχωμένος,...Ο Αδάμ αισθανόταν πολύ αγχωμένος πριν έρθει στην δουλειά...,en,anxious,,
άδεια,Έχει μερικές ημέρες άδεια τον χειμώνα.,en,"permission, license, leave, allowance,",,
αδελφούλα,η αδελφούλα και ο αδελφούλης μου.,en,sissy,,
αεροπορικό,Το αεροπορικό εισιτήριο κοστίζει πολύ.,en,airplane,,
αθάνατο,"τον βούτηξε μέσα στο αθάνατο νερό,",en,"immortal, eternal",,
αιόλου,"είναι ""ο ασκός του Αιόλου"".",en,Aeolus,,
αισθάνεται,Ο Μιχάλης αισθάνεται ευτυχισμένος όταν μιλά στους...,en,"feels, senses, has a feeling",,
αισθάνομαι,Αισθάνομαι ενοχλημένος και θυμωμένος.,en,"I feel, sense, perceive",,
αίσθημα,το αίσθημα της ντροπής.,en,"sensation, feeling",,
ακολουθήστε,"Επίσης , ακολουθήστε με και στα social...",en,follow,,
ακολουθώ,...αλήθεια είναι ότι δεν ακολουθώ,en,follow,,
ακόμα,Είναι ακόμα πολύ δραστήριοι ωστόσο.,en,"even, further, more, yet, still",,
ακόμη,"Εξάλλου, νόμιζα ότι έλειπε ακόμη στο σχολείο.",en,"another, additional, else, different",,
ακούγεται,"Το πέταγμα του χαρταετού ακούγεται εύκολο,",en,sounds,,
ακούσεις,αν δεν ακούσεις ή δεν καταλάβεις κάποιο...,en,"you listen, hear (ακούω)",,
ακούσουμε,Ας ακούσουμε τώρα το Μιχάλη να...,en,we listen,,
ακουστεί,γιατί ίσως να μην ακουστεί πολύ ευγενικό.,en,he/ she/ it is heard (ακούγομαι),,
ακριβό,...το ποδήλατο είναι πολύ ακριβό,en,expensive,,
ακριβώς,Α: Ας συναντηθούμε ακριβώς εδώ στις 6:30.,en,"just, exactly",,
αλήθεια,Α: Αλήθεια θέλετε να σας πω...,en,"truth, really, actually",,
αληθώς,...αυτή την ευχή είναι ‘'Αληθώς Ανέστη'' που σημαίνει : Ναι...,en,truly,,
αλίκη,Η Αλίκη πρέπει να πάει στην...,en,Alice,,
άλλα,Υπάρχουν πολλά άλλα αυτοκίνητα στον αυτοκινητόδρομο.,en,other,,
αλλάζει,...λέξη που είναι γαλάζια αλλάζει χρώμα.,en,changing,,
αλλά και,αλλά και τους συγγενείς μου.,en,(phrase) but also,,
